	pathway	reactome_id	symbol
10	Apoptosis	R-HSA-109581	STAT3,OMA1,PSMB9,CD14,PSMD3,HIST1H1C,HIST1H1D,VIM,TP53,PMAIP1,APPL1,MAGED1,PSMA2,OPA1,STK24,PSMB1,SATB1,STK26,PSMB8,PSMB9,PSMD11,DFFB,DSG3,YWHAG,DAPK2,PSMD2,PSMB11,PSMB10,YWHAH,BAX,YWHAQ,TNFSF10,DSG2,APC,BMX,PLEC,PSMB9,PSMB9,PSMA7,PSMD10,YWHAE,PSMA5,DCC,PRKCQ,PSMD5,TFDP2,RIPK1,UBB,PSMC6,PSMA6,DAPK1,PSMB9,PSMB9,DBNL,BID,SPTAN1,PSMF1,FASLG,PPP3CC,PSMB4,DSG1,HMGB1,DAPK3,PSMD13,PSMD4,LMNB1,MAPT,PSMA8,CTNNB1,UNC5B,PSMA1,PSMB8,PSMB5,HIST1H1A,TNFRSF10A,BBC3,PSME2,PTK2,PSMB8,TJP1,PSME1,PRKCD,AKT3,LMNA,PSMA4,BCAP31,MAPK8,TP53BP2,SFN,UBC,PSMB8,BIRC2,PSMC4,E2F1,BCL2,TRADD,CASP3,PSMB8,KPNA1,BCL2L11,ARHGAP10,PSMB6,TJP2,ROCK1,APAF1,PSME4,PSMB3,TP73,PSMB8,CASP8,PSMC2,SEM1,MAPT,CFLAR,TNFRSF10B,ACIN1,TLR4,TICAM1,PSMC3,CDH1,PSMD8,DSP,PSMD9,CASP7,PPP1R13B,MAPT,YWHAZ,BAK1,XIAP,KPNB1,PPP3R1,PSMC1,PSMC5,NMT1,PSMB9,AKT1,PSMC4,TRAF2,AKT2,ADD1,CASP6,TP63,H1F0,TICAM2,AKT3,BAD,GAS2,HIST1H1B,TFDP1,TJP1,DYNLL1,PSMB2,CYCS,PSMB9,HMGB2,HIST1H1E,UNC5A,PSMD14,YWHAE,FADD,PSMD12,PKP1,PSMD1,CASP9,YWHAB,RPS27A,GZMB,PSMA3,PSME3,OCLN,PSMB8,PAK2,UBA52,PSMB8,PSMB7,DYNLL2,PSMD7,PSMB3,GSN,PSMD6,BCL2L1,DNM1L,DFFA,DIABLO,FNTA,FAS,BMF,CLSPN,LY96
11	Aquaporin-mediated transport	R-HSA-445717	PRKAR2A,PRKAR1A,AQP12A,GNG4,RAB11A,ADCY7,AQP5,PRKACA,AQP7,MIP,AQP11,AQP3,AVP,GNG2,GNG10,ADCY9,MYO5B,AQP2,GNB5,PRKAR2B,GNG12,AQP8,AQP6,AQP4,GNB2,GNG13,GNAS,GNG5,GNB3,PRKAR1B,RAB11FIP2,GNG3,PRKACG,PRKACB,ADCY5,ADCY8,ADCY6,GNG11,AVPR2,AQP1,GNB4,ADCY4,AQP10,GNGT1,GNGT2,GNG8,GNG7,ADCY1,GNB1,ADCY2,ADCY3,AQP9,GNG4,PRKAR2B
12	Arachidonic acid metabolism	R-HSA-2142753	PTGR1,CYP2C19,ALOX12B,ALOXE3,CYP4F8,CYP8B1,CYP4A22,PTGIS,CYP4F2,ALOX5AP,CYP2C9,GPX1,ABCC1,ALOX5,ALOX15B,PTGS1,LTC4S,TBXAS1,PTGR2,CBR1,LTA4H,PTGES3,EPHX2,PON2,DPEP3,CYP4A11,PTGDS,HPGDS,GGT5,CYP4F11,CYP2U1,PTGS2,CYP1B1,GGT1,CYP4F22,PTGES,CYP2C8,MAPKAPK2,GPX2,AKR1C3,PON3,DPEP1,CYP1A2,LTC4S,ALOX15,DPEP2,GPX4,CYP4F3,CYP1A1,ALOX12,HPGD,CYP2J2,FAM213B,ALOX5,PON1,ABCC1,PTGES2,CYP4B1
13	Biological oxidations	R-HSA-211859	GSTA4,ADH1C,MAT2B,CES2,ADH5,PODXL2,SLC35B3,ACSS2,CYP26A1,GSTM4,UGT1A3,GLYATL1,CYP3A4,CYP4A22,CYP21A2,UGT2B4,PAPSS1,GSTT1,FDX1,CYP26C1,UGT1A4,CBR3,SLC35B2,CYP2A7,AOC3,CNDP2,ALDH2,CES1,PTGES3,OPLAH,ABHD10,GGT5,BPHL,CYP21A2,CYP4F22,GSTT2B,UGT2B10,UGT1A8,AIP,CYP7A1,CHAC2,GLYAT,CYP2C18,CYP7B1,ABHD14B,CYP2J2,ARNT2,CYP17A1,GSTT2,UGT2B11,CYP2W1,GSTP1,ADH1B,AKR7L,ACSM2B,CYP2C19,AKR7A2,CYP21A2,CYP2B6,CYP8B1,ESD,HSP90AB1,MAOA,CYP4F2,CYP51A1,GSTA2,SULT1A2,AHCY,CHAC1,MGST2,TBXAS1,CYP39A1,UGDH,GLYATL2,GGT6,SULT1B1,BPNT1,MAT1A,AOC2,EPHX1,CYP2F1,SULT1A4,LOC105369243,LOC107987479,LOC107987478,CYP2D6,GSTM1,SULT1C4,AOC1,UGT1A5,SULT2B1,CYP3A7,N6AMT1,NAT2,CYP2S1,NR1H4,TPST2,UGT1A1,GSTA5,CYP2A13,GSTA3,CYP11B1,CYP24A1,DPEP1,DPEP2,SULT1C2,CYB5B,CYP4F3,SULT1E1,FMO1,NNMT,GCLM,AADAC,CYP4F11,AKR1A1,NCOA2,MAOB,UGT2B17,AHR,CYP4F8,MTR,PTGIS,UGT2B15,GSTO2,TPST1,POR,UGT1A6,UGT1A9,UGT2A2,GGT7,NCOA1,COMT,SULT2A1,GSTO1,NQO2,CYP2E1,GGCT,ACSS1,ADH4,MGST1,SLC35D1,CYP2A6,DPEP3,CYP11B2,HPGDS,GSTT2,ALDH3A1,CYP46A1,GSTA1,CYP2U1,FMO2,CYP27A1,CYP4F12,GGT1,UGT1A7,GSTK1,UGT1A10,CYP2C8,RXRA,GSTM2,UGT2A1,MTRR,CYP26B1,CYP21A2,CYP1A1,UGT2B7,CYB5R3,SMOX,ADH1A,GCLC,SULT1A3,LOC105369243,AKR7A3,CYP3A43,CES1,UGT2A3,SULT6B1,GSS,ACSM2A,UGT3A1,CYP19A1,FDX2,GSTM3,ARNT,UGT2A3,LOC107987479,LOC107987478,CYP2D6,AHRR,UGT2B10,CYP21A2,CYP21A2,CYP11A1,CYP2C9,PAPSS2,PAOX,UGP2,GSTT2B,PTGS1,MAT2A,ACY1,MARC2,CMBL,ALDH1B1,GLYATL3,CYP4A11,CYP3A5,CES3,SULT1A1,ACSM5,FMO3,AS3MT,ADH6,CYP1B1,POMC,UGT3A2,NAT1,ACSM1,ACY3,FDXR,CYP1A2,ALDH1A1,MARC1,MGST3,CYP4V2,SLC26A2,SULT4A1,CYP27B1,TRMT112,UGT2B28,ACSM4,GSTZ1,IMPAD1,GSTM5,CYP2R1,ADH7,SLC26A1,CYP4B1,TPMT
14	Ca-dependent events	R-HSA-111996	PRKAR2A,PRKAR1A,GRK2,CALM1,CALM3,MAPK1,ADCY7,PDE1C,PRKACA,ADCY9,PRKAR2B,PRKCA,PLA2G4A,PRKCG,PRKAR1B,CREB1,PRKACG,PRKACB,PRKCD,ADCY5,ADCY8,ADCY6,PDE1A,PDE1B,ADCY4,ADCY1,CAMK4,ADCY2,ADCY3,PRKAR2B
15	Caspase activation via extrinsic apoptotic signalling pathway	R-HSA-5357769	CD14,TICAM2,APPL1,FASLG,MAGED1,CASP8,DAPK3,CFLAR,TNFRSF10B,UNC5B,DAPK2,UNC5A,TLR4,TICAM1,TNFRSF10A,TNFSF10,FADD,CASP9,DCC,RIPK1,DAPK1,TRADD,CASP3,FAS,TRAF2,LY96
16	Cell-Cell communication	R-HSA-1500931	NECTIN4,SIRPG,PARD6B,CLDN16,PARD6A,MAGI2,COL17A1,CADM2,LAMC2,FYB1,CDH15,CDH24,CDH12,CLDN6,JUP,KIRREL3,CDH10,PLEC,PIK3R2,LAMA3,CDH7,CLDN5,DST,ANG,LIMS2,CDH18,CLDN23,FBLIM1,SFTPA2,SPTAN1,CLDN8,ACTG1,SFTPA1,FLNA,SFTPD,ACTN1,ACTN4,ITGA6,CD151,FYN,ACTN4,ARHGEF6,CDH4,PATJ,SKAP2,CTNND1,CTNNB1,PARVB,CDH17,PTK2,IQGAP1,SIRPB1,KIRREL1,CDH8,RSU1,GRB2,CD2AP,CDH13,FLNC,KIRREL2,PTPN6,FERMT2,CDH2,PARD3,CLDN11,CLDN4,PARVA,PIK3CA,NECTIN1,NCK2,VASP,CLDN22,PARD6G,CLDN2,CDH5,NCK1,TESK1,CLDN7,ITGB4,NECTIN3,CDH1,MPP5,CLDN17,SPTBN1,SIRPA,ILK,ACTN3,LAMB3,PIK3CB,ACTB,ACTN2,PRKCI,CLDN19,CADM1,KRT14,CDH6,CDH9,NECTIN2,SRC,NPHS1,SDK1,WASL,CDH3,CLDN14,TYROBP,PTK2B,CLDN3,PXN,CD47,PVR,SDK2,PTPN11,CASK,AFDN,NPHS2,CTNNA1,CADM3,PIK3R1,CLDN20,ITGB1,CLDN12,LIMS1,KRT5,CLDN15,CLDN10,CLDN18,CRB3,F11R,CLDN1,CLDN9,CDH11
17	Cell-cell junction organization	R-HSA-421270	NECTIN4,NECTIN1,CLDN3,PARD6G,CLDN22,PARD6B,CLDN16,CLDN2,PARD6A,PVR,SDK2,CDH5,CDH4,ACTG1,PATJ,CLDN4,CADM2,AFDN,CTNND1,CLDN7,CTNNB1,CTNNA1,CDH15,CDH24,CDH12,CADM3,CLDN6,JUP,NECTIN3,CDH17,CLDN20,CDH1,MPP5,CDH10,CLDN17,CDH8,CLDN12,CDH13,ACTB,CADM1,PRKCI,CLDN19,CLDN15,CDH6,CDH7,CLDN5,CLDN10,CDH9,NECTIN2,CDH2,ANG,CDH18,CLDN18,CRB3,F11R,CLDN23,PARD3,SDK1,CDH3,CLDN11,CLDN14,CLDN1,CLDN9,CDH11,CLDN8
18	Cellular response to heat stress	R-HSA-3371556	NUP153,NUP210,HSBP1,HSPA2,HSPA4,SERPINH1,NUP62,CAMK2D,SEH1L,ATR,PTGES3,HSPA14,NUP37,YWHAE,HIKESHI,HDAC6,NUPL2,HSPA1L,UBB,HSPA5,ATM,POM121,MRPL18,AAAS,RPA3,HSPA1L,NUP188,HSPA1A,NDC1,NUP160,TPR,CREBBP,MAPK3,CAMK2B,TNFRSF21,CRYAB,CRYBA4,NUP85,POM121C,HSPA1B,HSP90AB1,RPA2,NUP43,RPS19BP1,SIRT1,HSPA1A,HSPA9,EP300,HSPB1,MAPKAPK2,NUP50,AKT1S1,HSF1,DNAJC7,NUP98,DNAJB6,NUP133,RPA1,RPTOR,DEDD2,FKBP4,CAMK2A,EEF1A1,HSPB2,HSP90AA1,HSPA1B,HSPA1A,BAG4,BAG3,RLN1,HSPA1L,HSPH1,MLST8,NUP54,NUP35,NUP58,BAG1,NUP205,HSPA1A,GSK3B,HSPA12A,BAG5,HSPA13,MAPK1,BAG2,HSPA1A,DNAJC2,GML,HSPA1L,NUP107,HSPA1L,HSPA1B,HSPA1B,VCP,HSPA12B,YWHAE,ST13,CAMK2G,RAE1,UNKNOWN,RANBP2,NUP155,HSPA4L,HSPA8,HSPA6,MTOR,HSPA1B,CCAR2,NUP214,HSPB8,NUP93,NUP88,DNAJB1,COL4A6
19	Cellular response to hypoxia	R-HSA-2262749	PSMB9,PSMD3,PSMA2,LIMD1,PSMB1,PSMB8,PSMB9,PSMD11,PSMD2,PSMB11,PSMB10,HIF1AN,AJUBA,PSMB9,PSMB9,PSMA7,PSMD10,PSMA5,CUL2,PSMD5,UBB,PSMC6,PSMA6,PSMB9,PSMB9,CREBBP,PSMF1,VHL,PSMB4,PSMD13,PSMD4,PSMA8,PSMA1,PSMB8,PSMB5,PSME2,PSMB8,PSME1,RBX1,PSMA4,EP300,UBC,PSMB8,EPO,PSMC4,PSMB8,PSMB6,PSME4,PSMB3,PSMB8,PSMC2,SEM1,EGLN2,HIGD1A,WTIP,PSMC3,PSMD8,PSMD9,HIF3A,EGLN3,PSMC1,PSMC5,PSMB9,PSMC4,VEGFA,UBE2D2,ARNT,PSMB2,HIF1A,PSMB9,EPAS1,CITED2,PSMD14,PSMD12,PSMD1,PSME3,RPS27A,PSMA3,EGLN1,ELOB,PSMB8,UBA52,PSMB8,UBE2D3,PSMB7,PSMD7,CA9,PSMB3,PSMD6,UBE2D1,ELOC
20	Cellular responses to external stimuli	R-HSA-8953897	H3F3B,KAT5,PSMB9,PSMD3,MT1M,EP400,TERF2,NBN,ATG16L1,CBX8,PSMB8,PSMD11,SOD3,HIST1H3C,SERPINH1,NUP62,RNF2,PTGES3,AGO4,PSMB9,HSPA14,ANAPC4,HIST1H3D,HDAC6,HIKESHI,MAP2K6,PSMD5,HIST1H2AD,HIST4H4,HIST1H4I,ULK1,POM121,CHMP4A,AAAS,CBX4,TERF2IP,NUP188,CREBBP,MAPK3,ATG4A,HIST1H3F,CHMP2A,GSTP1,VHL,AGO3,RING1,HSP90AB1,HSPA1B,MTMR14,DCTN5,NUP43,TNRC6B,HIST2H3C,CAPZA3,RPS19BP1,HIST1H3J,E2F3,UVRAG,PHC2,DCTN4,HIST1H4D,ATG9A,ATG14,HIST1H4H,TUBA1A,PGR,HSPB1,RB1CC1,AKT1S1,HIST1H2AC,NR3C2,HIST2H2AA3,PSMC4,NUDT2,NUP133,SNCB,BECN1,CBX6,EHMT2,NOX4,DEDD2,PSME4,CDC23,CAMK2A,HSPB2,MDM4,RBBP7,RPS6KA3,TERF1,EHMT2,CAT,DCTN2,HSPA1A,NFKB1,MT4,RING1,CCS,MAPK7,HIST1H4E,RLN1,HSPA1L,CHMP3,GABARAPL1,PSMC1,ATG16L1,PSMC5,NUP58,BAG1,TNIK,MT1E,PRDX2,E2F2,MTMR3,TUBB2A,ATP7A,VEGFA,HIST1H2BN,HIST1H4C,TUBB2B,BAG5,AR,EHMT2,HIST3H3,ARNT,DYNLL1,PSMB2,DYNC1LI2,GPX1,HSPA1A,DNAJC2,HIRA,TUBA3D,ST13,CCNE1,MT1F,CDKN2D,UNKNOWN,HIST1H2BK,RANBP2,AGO1,UBA52,HSPA6,MAP4K4,RBBP4,UBE2D3,PSMB7,RRAGD,CCAR2,DNAJA1,ETS1,CDK2,PRKAB2,TXNRD2,WIPI2,STAT3,WDR45B,ATG4B,CDKN2A,HIST1H2BI,SP1,PRKAG2,IFNB1,PSMD2,PSMB10,SEH1L,HIF1AN,HIST1H2AJ,PSMB9,PSMA7,RB1,PSMD10,ERF,CDC27,NUPL2,PSMC6,MRPL18,RPA3,MAP3K5,TPR,TUBB8,CAMK2B,MAP1LC3B,CRYBA4,KDM6B,PSMB4,ATG7,HMGA2,LMNB1,PSMD4,EZH2,PSMA8,ATG10,MAP2K4,PIK3R4,PSMB8,HIST1H3E,HIST1H2BL,EHMT2,LAMTOR2,ANAPC1,HIST1H2AB,SIRT1,PSMB8,CDC16,GABARAPL2,HIST1H4B,RBX1,CCNE2,TSC2,PRDX6,GPX5,MAPK8,EP300,TUBA3E,ACD,GPX8,HIST1H3I,DNAJB6,TUBA3C,NCF2,HIST2H3A,HIST3H2BB,SCMH1,PSMB8,TUBA8,WIPI1,PSMC2,H2AFJ,ACTR10,HIGD1A,HIST1H4F,H2AFX,GPX5,TINF2,PSMD8,PSMD9,MINK1,MAPK11,DCTN6,NUP54,NUP35,LOC102724334,H2BFS,MT2A,HSPA1A,HIST1H2BB,FOS,HSPA12A,NCF4,H1F0,HIST1H2BM,PIK3C3,MAP1LC3A,TFDP1,HSPA13,DNAJA2,HIF1A,PSMB9,EPAS1,HIST1H1E,ATOX1,HSPA1B,HIST2H4A,CITED2,HIST1H2BD,HIST1H2BE,YWHAE,H2AFV,RAE1,PHC3,EGLN1,CABIN1,UBE2C,PSMB8,LAMTOR1,NOX5,UBE2D1,ANAPC7,MAPKAPK3,CBX2,HIST1H1C,HIST2H2BE,NUP210,PSMB1,PSMB9,TUBB1,ACTR1A,TUBA4B,AJUBA,TNRC6A,HIST1H2BA,YWHAE,LAMTOR5,TFDP2,HIST2H3D,HIST1H4L,UBB,PRKAG1,PSMA6,PSMB9,ANAPC16,CHMP4B,PSMB9,NUP160,MT1H,ANAPC15,ANAPC11,E2F2,UBN1,NUP85,MOV10,HIST1H3B,HIST1H2BF,GSR,RPA2,CHMP2B,UNKNOWN,DYNC1H1,CYBA,PRDX5,CXCL8,PSMB5,HIST1H1A,RING1,EED,HIST1H4A,PSMA4,GPX7,MAPKAPK2,UBC,NUP98,PHC1,MAP1LC3C,PSMB8,CCNA1,RPA1,ANAPC5,ATG101,PSMB6,HIST1H2BO,AMBRA1,HIST1H3H,FKBP4,PSMB3,MAPK14,RRAGA,ASF1A,DYNC1LI1,EEF1A1,SEM1,SUZ12,EGLN2,PRDX1,WTIP,RPS6KA2,DCTN3,JUN,HIF3A,ANAPC10,UBE2E1,MAPKAPK5,ID1,HIST1H2BH,PSMB9,TSC1,ATG4C,H2AFB1,CAPZA2,GSK3B,PRKAA2,WDR45,EHMT2,HIST1H2BJ,PRKAG3,CDK6,GABARAP,MAPK9,MAPK1,UBE2D2,BAG2,GML,HSPA1L,HSPA1L,AQP8,VCP,H3F3A,PSMD1,HIST1H4K,PRKAB1,ELOB,MTOR,PSMD7,CA9,CHMP6,HSPA1B,ATG13,NUP214,IL6,PRKAA1,CHMP4C,HIST1H3A,DNAJB1,CEBPB,COL4A6,NUP153,HIST1H1D,CYBB,TP53,MTF1,HIST2H2AA4,HSBP1,PSMA2,LIMD1,DCTN1,RING1,NR3C1,HSPA2,CDK4,HSPA4,SLC38A9,CAMK2D,PSMB11,TNRC6C,ETS2,RPS6KA1,ATR,TUBB6,NUP37,HMGA1,PSMA5,TUBAL3,CUL2,HIST2H2AC,HSPA1L,HSPA5,ATM,HIST2H4B,CDKN2B,HSPA1L,HSPA1A,NDC1,CAPZA1,CSRP1,SOD2,PSMF1,TNFRSF21,FKBP5,RING1,ATG4D,CRYAB,POM121C,MT3,PSMD13,EHMT2,RELA,STIP1,TUBB4A,PSMA1,MAPK10,MDM2,DYNC1I1,FZR1,PSME2,IL1A,UNKNOWN,PSME1,TXN2,EHMT1,HSPA1A,ATG12,HIST1H3G,RING1,BMI1,HSPA9,ERO1A,TUBA4A,NUP50,TUBA1C,GPX2,HSF1,DNAJC7,GPX6,CDKN1A,EPO,MT1A,E2F1,P4HB,RPTOR,CDKN1B,PSMB8,SOD1,TUBB4B,PRDX3,MAP2K7,HIST1H4J,HSP90AA1,POT1,HIST1H2AE,HIST1H2BC,ATG5,MT1X,TXNRD1,HSPA1B,MIR3074,PSMC3,MRE11,UNKNOWN,BAG4,BAG3,RHEB,H2AFZ,NCF1,HSPH1,EGLN3,TUBB3,MLST8,NUP205,GPX3,PSMC4,MAP2K3,CAPZB,RAD50,MT1G,HIST1H1B,RRAGC,CCNA2,LAMTOR4,IGFBP7,DNAJA4,CYCS,RPS6KA1,LAMTOR3,CDKN2C,NUP107,DYNC1I2,ANAPC2,HSPA1B,PSMD14,HSPA12B,RRAGB,PSMD12,HIST1H2BG,CAMK2G,ATG9B,PSME3,RPS27A,PSMA3,NUP155,HSPA4L,PSMB8,HSPA8,CDC26,DYNLL2,TXN,PSMB3,PSMD6,TUBA1B,ATG3,HSPB8,NUP93,NUP88,MT1B,CHMP7,ELOC
21	Cellular responses to stress	R-HSA-2262752	H3F3B,PSMB9,KAT5,PSMD3,EP400,TERF2,NBN,PSMB8,CBX8,PSMD11,SOD3,HIST1H3C,SERPINH1,NUP62,RNF2,AGO4,PTGES3,PSMB9,HSPA14,ANAPC4,HIST1H3D,HDAC6,HIKESHI,MAP2K6,PSMD5,HIST1H2AD,HIST4H4,HIST1H4I,POM121,CBX4,TERF2IP,AAAS,NUP188,CREBBP,MAPK3,HIST1H3F,GSTP1,VHL,AGO3,RING1,HSP90AB1,HSPA1B,DCTN5,NUP43,TNRC6B,HIST2H3C,CAPZA3,RPS19BP1,HIST1H3J,E2F3,PHC2,DCTN4,HIST1H4D,TUBA1A,HIST1H4H,PGR,HSPB1,AKT1S1,HIST1H2AC,HIST2H2AA3,NR3C2,PSMC4,NUDT2,NUP133,CBX6,EHMT2,NOX4,DEDD2,PSME4,CDC23,CAMK2A,HSPB2,MDM4,RBBP7,RPS6KA3,TERF1,EHMT2,CAT,DCTN2,HSPA1A,NFKB1,RING1,CCS,MAPK7,HIST1H4E,RLN1,HSPA1L,PSMC1,PSMC5,NUP58,TNIK,BAG1,PRDX2,E2F2,TUBB2A,HIST1H2BN,VEGFA,ATP7A,HIST1H4C,TUBB2B,AR,BAG5,EHMT2,HIST3H3,ARNT,DYNLL1,PSMB2,DYNC1LI2,GPX1,HSPA1A,DNAJC2,HIRA,TUBA3D,ST13,CCNE1,CDKN2D,UNKNOWN,HIST1H2BK,RANBP2,AGO1,UBA52,HSPA6,MAP4K4,UBE2D3,PSMB7,RBBP4,CCAR2,DNAJA1,ETS1,CDK2,TXNRD2,STAT3,CDKN2A,HIST1H2BI,SP1,IFNB1,PSMD2,PSMB10,SEH1L,HIF1AN,HIST1H2AJ,PSMB9,PSMA7,RB1,PSMD10,ERF,CDC27,NUPL2,PSMC6,MRPL18,RPA3,MAP3K5,TPR,TUBB8,CAMK2B,CRYBA4,PSMB4,KDM6B,HMGA2,PSMD4,LMNB1,EZH2,PSMA8,HIST1H3E,MAP2K4,PSMB8,HIST1H2BL,EHMT2,ANAPC1,HIST1H2AB,SIRT1,PSMB8,CDC16,HIST1H4B,RBX1,CCNE2,GPX5,PRDX6,MAPK8,EP300,TUBA3E,ACD,HIST1H3I,GPX8,DNAJB6,TUBA3C,NCF2,HIST2H3A,HIST3H2BB,SCMH1,PSMB8,TUBA8,PSMC2,H2AFJ,ACTR10,HIGD1A,HIST1H4F,H2AFX,GPX5,PSMD8,TINF2,PSMD9,MINK1,MAPK11,DCTN6,NUP54,LOC102724334,H2BFS,NUP35,HSPA1A,HIST1H2BB,FOS,HSPA12A,HIST1H2BM,H1F0,NCF4,TFDP1,DNAJA2,HSPA13,HIF1A,PSMB9,EPAS1,HIST1H1E,ATOX1,HIST2H4A,HSPA1B,CITED2,HIST1H2BD,HIST1H2BE,YWHAE,H2AFV,RAE1,PHC3,EGLN1,CABIN1,UBE2C,PSMB8,NOX5,UBE2D1,ANAPC7,MAPKAPK3,CBX2,HIST1H1C,HIST2H2BE,NUP210,PSMB1,PSMB9,TUBB1,ACTR1A,TUBA4B,AJUBA,TNRC6A,HIST1H2BA,YWHAE,TFDP2,HIST2H3D,HIST1H4L,UBB,PSMA6,PSMB9,ANAPC16,PSMB9,NUP160,ANAPC15,ANAPC11,E2F2,UBN1,MOV10,HIST1H3B,HIST1H2BF,NUP85,GSR,RPA2,UNKNOWN,DYNC1H1,CYBA,PRDX5,CXCL8,PSMB5,HIST1H1A,RING1,EED,HIST1H4A,PSMA4,GPX7,MAPKAPK2,UBC,NUP98,PSMB8,PHC1,CCNA1,RPA1,ANAPC5,PSMB6,HIST1H2BO,HIST1H3H,FKBP4,PSMB3,MAPK14,ASF1A,DYNC1LI1,EEF1A1,SEM1,SUZ12,EGLN2,PRDX1,WTIP,RPS6KA2,DCTN3,JUN,HIF3A,ANAPC10,UBE2E1,MAPKAPK5,ID1,HIST1H2BH,PSMB9,H2AFB1,CAPZA2,GSK3B,EHMT2,HIST1H2BJ,CDK6,UBE2D2,MAPK9,MAPK1,BAG2,GML,HSPA1L,HSPA1L,AQP8,VCP,H3F3A,PSMD1,HIST1H4K,ELOB,MTOR,PSMD7,CA9,HSPA1B,NUP214,IL6,HIST1H3A,DNAJB1,CEBPB,COL4A6,NUP153,HIST1H1D,CYBB,TP53,HIST2H2AA4,HSBP1,PSMA2,LIMD1,RING1,DCTN1,NR3C1,HSPA2,CDK4,HSPA4,CAMK2D,PSMB11,TNRC6C,ETS2,RPS6KA1,ATR,TUBB6,NUP37,HMGA1,PSMA5,TUBAL3,CUL2,HIST2H2AC,HSPA1L,ATM,HIST2H4B,HSPA5,CDKN2B,HSPA1L,HSPA1A,NDC1,CAPZA1,SOD2,PSMF1,TNFRSF21,FKBP5,RING1,CRYAB,POM121C,PSMD13,EHMT2,RELA,STIP1,TUBB4A,PSMA1,MAPK10,MDM2,DYNC1I1,FZR1,PSME2,IL1A,UNKNOWN,PSME1,TXN2,EHMT1,HSPA1A,HIST1H3G,RING1,BMI1,HSPA9,ERO1A,TUBA4A,NUP50,GPX2,TUBA1C,HSF1,DNAJC7,GPX6,EPO,CDKN1A,E2F1,P4HB,RPTOR,PSMB8,CDKN1B,SOD1,TUBB4B,PRDX3,MAP2K7,HIST1H4J,HSP90AA1,POT1,HIST1H2AE,HIST1H2BC,TXNRD1,HSPA1B,MIR3074,PSMC3,MRE11,UNKNOWN,BAG4,BAG3,H2AFZ,NCF1,HSPH1,EGLN3,TUBB3,MLST8,GPX3,NUP205,PSMC4,MAP2K3,CAPZB,RAD50,HIST1H1B,CCNA2,IGFBP7,RPS6KA1,CYCS,DNAJA4,CDKN2C,NUP107,DYNC1I2,ANAPC2,HSPA1B,PSMD14,HSPA12B,PSMD12,HIST1H2BG,CAMK2G,PSME3,RPS27A,PSMA3,NUP155,HSPA4L,PSMB8,HSPA8,CDC26,DYNLL2,TXN,PSMB3,PSMD6,TUBA1B,HSPB8,NUP93,NUP88,ELOC
22	Cholesterol biosynthesis	R-HSA-191273	DHCR7,SC5D,DHCR24,EBP
